DVD_Title|Studio|Released|Status|Sound|Versions|Price|Rating|Year|Genre|Aspect|UPC|DVD_ReleaseDate|ID|Timestamp|Updated
Bruce Lee: The Invincible (a.k.a. Bruce Li: The Invincible/ Tai Seng)|Tai Seng||Discontinued|SUB|4:3|7.95|NR|1977|Action/Adventure|1.33:1|601641140140|2002-11-26 00:00:00|21904|2013-11-27 00:00:00|1
Brutal River|Tai Seng||Discontinued|SUB|4:3|9.95|NR|2005|Foreign|1.33:1|112117923018|2007-06-26 00:00:00|110690|2013-11-27 00:00:00|1
Buddha's Palm|Tai Seng||Discontinued|SUB|4:3|7.95|NR|1982|Action/Adventure|1.33:1|507118211026|2007-03-27 00:00:00|103699|2013-11-27 00:00:00|1
Buddhist Fist (Tai Seng)|Tai Seng||Discontinued|2.0|LBX|9.95|NR|1980|Foreign|1.85:1|601643750743|2000-04-25 00:00:00|968|2013-11-27 00:00:00|1
Bug Me Not (Special Edition)|Tai Seng||Discontinued|SUB|LBX|19.95|NR|2005|Foreign|1.85:1|601641720748|2006-04-25 00:00:00|81292|2013-11-27 00:00:00|1
Bullet & Brain|Tai Seng||Discontinued|SUB|LBX, 16:9|7.95|NR|2007|Foreign|1.85:1|112119321010|2008-04-29 00:00:00|132917|2013-11-27 00:00:00|1
Bullet In The Head|Tai Seng||Discontinued|SUB|LBX|49.95|NR|1990|Foreign|1.85:1|601643195445|1998-09-29 00:00:00|978|2013-11-27 00:00:00|1
Bullets Of Love (Special Edition)|Tai Seng||Discontinued|5.1|LBX|14.95|NR|2001|Action/Adventure|1.85:1|601641039840|2002-06-25 00:00:00|17175|2013-11-27 00:00:00|1
Bullets Over Summer|Tai Seng||Discontinued|5.1|LBX|14.95|NR|1999|Action/Adventure|1.85:1|601643768342|2000-12-05 00:00:00|8984|2013-11-27 00:00:00|1
Bury Me High|Tai Seng||Discontinued|SUB|LBX|14.95|NR|1990|Action/Adventure|1.85:1|601643010342|2001-10-16 00:00:00|13115|2013-11-27 00:00:00|1
Butterfly Lovers (2004)|Tai Seng||Discontinued|SUB|LBX|14.95|NR|2004|Foreign|1.85:1|601641637749|2005-03-15 00:00:00|56749|2013-11-27 00:00:00|1
Butterfly Sword|Tai Seng||Discontinued|5.1|LBX|29.95|NR|1993|Action/Adventure|1.85:1|601643289540|2000-12-05 00:00:00|8974|2013-11-27 00:00:00|1
Butterfly Sword (Special Edition)|Tai Seng||Discontinued|DTS|LBX|14.95|NR|1993|Action/Adventure|1.85:1|601643508542|2004-06-22 00:00:00|45694|2013-11-27 00:00:00|1
C'Est La Vie, Mon Cheri|Tai Seng||Discontinued|SUB|LBX|7.95|NR|1994|Foreign|1.85:1|507103274012|2007-12-18 00:00:00|124338|2013-11-27 00:00:00|1
Camera I: Autofiction By Francoise Romand|Alibi||Discontinued|2.0|4:3|25|NR|VAR|Special Interest|1.33:1|880198127990|2011-09-27 00:00:00|214371|2013-11-27 00:00:00|1
Canyons|IFC||Out|2.0|LBX, 16:9|24.98|NR|2013|Thriller|2.35:1|030306989099|2013-11-26 00:00:00|251555|2013-11-26 00:00:00|1
Canyons (Director's Cut)|IFC||Out|2.0|LBX, 16:9|24.98|NR|2013|Thriller|2.35:1|030306989198|2013-11-26 00:00:00|251739|2013-11-26 00:00:00|1
Canyons (Director's Cut/ Blu-ray)|IFC||Out|2.0|LBX, 16:9, BLU-RAY|29.98|NR|2013|Thriller|2.35:1|030306191898|2013-11-26 00:00:00|251575|2013-11-26 00:00:00|1
Carry On Pickpocket (Widescreen)|Tai Seng||Discontinued|SUB|LBX|14.95|NR|1982|Foreign|1.85:1|601641011242|2003-06-17 00:00:00|63331|2013-11-27 00:00:00|1
Cartune Xprez 2008: The Comic That Frenches Your Mind / Copenhagen Cycles / The Mountain Where Everything Is Upside Down / ...|Microcinema International||Discontinued|2.0|4:3|20|NR|2008|Animation|1.33:1|678277002494|2009-08-25 00:00:00|163091|2013-11-27 00:00:00|1
Cartune Xprez 2010|Cartune Xprez||Discontinued|2.0|4:3|20|NR|2010|Animation|1.33:1|751937397991|2011-01-25 00:00:00|194824|2013-11-27 00:00:00|1
Casino Raiders|Tai Seng||Discontinued|SUB|LBX|9.95|NR|1989|Foreign|1.85:1|601643011547|2001-07-17 00:00:00|11518|2013-11-27 00:00:00|1
Casino Raiders 2|Tai Seng||Discontinued|SUB|LBX|9.95|NR|1993|Foreign|1.85:1|601643195742|2001-07-17 00:00:00|11519|2013-11-27 00:00:00|1
Castle Orgies|Tai Seng||Discontinued|DUB|LBX|24.95|NR|1971|Late Night|1.85:1|606143659749|2001-04-17 00:00:00|10417|2013-11-27 00:00:00|1
Cat (1992)|Tai Seng||Discontinued|SUB|LBX|14.95|NR|1992|Foreign|1.85:1|601643301242|2003-08-19 00:00:00|29426|2013-11-27 00:00:00|1
Cat And Mouse|Tai Seng||Discontinued|SUB|LBX, 16:9|9.95|NR|2003|Foreign|1.85:1|601641339544|2005-04-19 00:00:00|58833|2013-11-27 00:00:00|1
Century Of The Dragon|Tai Seng||Discontinued|SUB|LBX|14.95|NR|1999|Foreign|1.85:1|601643744049|2000-05-09 00:00:00|1109|2013-11-27 00:00:00|1
Challenge Of Death|Tai Seng||Discontinued|1.0|4:3|7.95|NR|1978|Action/Adventure|1.33:1|601643828749|2001-01-23 00:00:00|9274|2013-11-27 00:00:00|1
Champion Disc Dog!: The Ultimate Guide To Getting Your Dog Airborne In 18 Days (Book w/ DVD)|Cider Mill Press||Out|2.0|4:3|18.95|NR|2013|Special Interest|1.33:1|9781604332667|2013-11-26 00:00:00|255918|2013-11-26 00:00:00|1
Champion Joe|Tai Seng||Discontinued|SUB|4:3|7.95|MA13|UNK|Anime|1.33:1|507119418011|2008-04-29 00:00:00|129784|2013-11-27 00:00:00|1
Cheap Killers|Tai Seng||Discontinued|5.1|LBX|14.95|NR|1998|Action/Adventure|1.66:1|601643630748|2001-02-13 00:00:00|9579|2013-11-27 00:00:00|1
Cheaters (2001)|Tai Seng||Discontinued|5.1|LBX|9.95|NR|2001|Action/Adventure|1.85:1|601643968841|2002-02-12 00:00:00|15501|2013-11-27 00:00:00|1
Cherry Blossoms (1988)|Tai Seng||Discontinued|DUB|LBX|14.95|NR|1988|Foreign|1.85:1|601643012742|2003-09-16 00:00:00|33750|2013-11-27 00:00:00|1
Child Custody Mediation: An Introduction To The Emotional Dynamics Of Divorce, The Process Of Mediation, ... (DVD-ROM)|Routledge||Out|2.0|4:3|90|NR|2014|Special Interest|1.33:1|9780415841610|2013-11-28 00:00:00|239109|2013-11-26 00:00:00|1
China Dolls (1992)|Tai Seng||Discontinued|SUB|4:3|14.95|NR|1992|Foreign|1.33:1|601641271844|2003-11-11 00:00:00|33280|2013-11-27 00:00:00|1
China Dragon|Tai Seng||Discontinued|DUB|LBX|14.95|NR|1995|Foreign|1.85:1|601643415048|2003-04-22 00:00:00|27738|2013-11-27 00:00:00|1
Chinese Erotic Ghost Story|Tai Seng||Discontinued|2.0|LBX, 16:9|14.95|NR|1998|Late Night|1.85:1|601643641447|2005-09-20 00:00:00|68371|2013-11-27 00:00:00|1
Chinese Feast|Tai Seng||Discontinued|SUB|LBX|14.95|NR|1995|Foreign|2.35:1|601643404349|2002-11-26 00:00:00|21905|2013-11-27 00:00:00|1
Chinese Ghost Story (Special Edition)|Tai Seng||Discontinued|SUB|LBX|29.95|NR|1987|Foreign|1.85:1|601643013244|2000-09-12 00:00:00|1178|2013-11-27 00:00:00|1
Chinese Ghost Story 2 (Special Edition)|Tai Seng||Discontinued|SUB|LBX|29.95|NR|1990|Foreign|1.85:1|601643191249|2000-09-12 00:00:00|1176|2013-11-27 00:00:00|1
Chinese Ghost Story 3 (Special Edition)|Tai Seng||Discontinued|SUB|LBX|29.95|NR|1991|Foreign|1.85:1|601643243948|2000-09-12 00:00:00|1177|2013-11-27 00:00:00|1
